,time,day,year,layer,phi_sn,phi_at,phi_ws,phi_e,T_w_t_1,H_t_1,phi_c,phi_net,H_t,T_w_t
"1",9,13,2017,1,3214.22502289102,1037.64941668447,2270.73330253065,15.9016344692816,52.9539147770442,111949.33355728,155.902175042526,1809.33732753303,113758.670884813,53.8097617178041
"1",12,13,2017,1,6939.54153332134,1179.08332783141,2294.66511104483,23.3274453945732,53.8097617178041,113758.670884813,135.558090137513,5665.07421457583,119423.745099389,56.4894369568781
"1",15,13,2017,1,4195.55033605491,1251.15233797494,2370.82083059707,27.7744437902225,56.4894369568781,119423.745099389,134.938513962926,2913.16888567963,122336.913985069,57.8674147616722
"1",18,13,2017,1,-168.143234328115,1199.82322368397,2410.71266671099,24.5604383351543,57.8674147616722,122336.913985069,148.274910573717,-1551.86802626401,120785.045958805,57.133355124185
"1",21,13,2017,1,0,1130.25096799876,2389.3998402364,20.5715624350292,57.133355124185,120785.045958805,156.562237051265,-1436.28267172393,119348.763287081,56.4539693004606
"1",0,14,2017,1,0,1083.1228296136,2369.80063848325,23.0321947945088,56.4539693004606,119348.763287081,205.820303322477,-1515.53030698664,117833.232980094,55.7370980144235
"1",3,14,2017,1,0,1019.29037877326,2349.25103492393,19.1589420534802,55.7370980144235,117833.232980094,216.44906264407,-1565.56866084822,116267.664319246,54.9965577466981
"1",6,14,2017,1,-71.8433504428548,951.179638963872,2328.16358017998,15.4910214158061,54.9965577466981,116267.664319246,228.759942129134,-1693.0782552039,114574.586064042,54.1957032995294
"1",9,14,2017,1,3279.59306993589,1013.02467683324,2305.51875199849,18.8017028226896,54.1957032995294,114574.586064042,210.157009734782,1758.14028221317,116332.726346255,55.027333178083
"1",12,14,2017,1,7065.85007228159,1155.42911414218,2329.03709620015,27.9449376594275,55.027333178083,116332.726346255,183.380732963251,5680.91641960095,122013.642765856,57.7145020461775
"1",15,14,2017,1,4277.36418762662,1228.15668038618,2406.26126020866,33.4647086692452,57.7145020461775,122013.642765856,182.26510551848,2883.52979361641,124897.172559472,59.078460062686
"1",18,14,2017,1,-143.68670088571,1176.34777424507,2446.18564012319,29.4725010205175,59.078460062686,124897.172559472,199.418704364312,-1642.41577214866,123254.756787323,58.301569820795
"1",21,14,2017,1,0,1106.21151625228,2423.3849183314,24.5395442981002,58.301569820795,123254.756787323,210.111628710342,-1551.82457508756,121702.932212235,57.5675307364436
"1",0,15,2017,1,0,1058.76094877524,2401.9886253799,19.142799726008,57.5675307364436,121702.932212235,192.953055309495,-1555.32353164016,120147.608680595,56.8318365868837
"1",3,15,2017,1,0,994.573486403178,2380.68656566566,15.8221382420317,56.8318365868837,120147.608680595,202.65595654168,-1604.59117404619,118543.017506549,56.0728380150971
"1",6,15,2017,1,-78.6898898298704,946.220895095047,2358.85854010433,13.5690586537318,56.0728380150971,118543.017506549,209.522978475153,-1714.41957196804,116828.597934581,55.2618887667067
"1",9,15,2017,1,3267.57021424032,1014.98876173137,2335.70269504214,16.8370326270584,55.2618887667067,116828.597934581,191.444127407404,1738.57512089508,118567.173055476,56.0842639953924
"1",12,15,2017,1,7047.50761712121,1174.80993330496,2359.18602254144,26.1357017397044,56.0842639953924,118567.173055476,164.441141365163,5672.55468477986,124239.727740256,58.767477622495
"1",15,15,2017,1,4263.47479784801,1257.15629338703,2437.03948405014,31.8973458957434,58.767477622495,124239.727740256,161.957270958508,2889.73699033066,127129.464730587,60.134371747289
"1",18,15,2017,1,-157.379779659741,1198.44768286999,2477.43276577207,27.720569910217,60.134371747289,127129.464730587,178.282513273085,-1642.36794574512,125487.096784842,59.3575041280903
"1",21,15,2017,1,0,1119.35219833786,2454.41436380788,22.6321964466219,59.3575041280903,125487.096784842,189.274754630538,-1546.96911654718,123940.127668295,58.6257617571682
